Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T0000,0,M20,108.0,0.0077130952380952385,0.0
0,T0000,0,M20,4587.5,0.018378571428571428,257.3
0,T0000,0,M20,19381.5,0.06426785714285714,899.75
0,T0000,0,M20,26676.5,0.12752619047619046,1785.3666666666666
0,T0000,0,M20,29995.5,0.19868809523809522,2781.633333333333
0,T0000,0,M20,31506.0,0.2734452380952381,3828.233333333333
0,T0000,0,M20,23478.0,0.32908809523809524,4607.233333333334
0,T0000,0,M20,11016.5,0.3550607142857143,4970.85
0,T8080,3000,M20,5245.5,0.36729285714285714,5142.1
0,T8080,3000,M20,2642.0,0.3733261904761905,5226.566666666667
0,T8080,3000,M3,1461.0,0.3765476190476191,5271.666666666667
0,T8080,3000,M3,929.5,0.37850357142857144,5299.05
0,T8080,3000,M3,662.5,0.37982380952380956,5317.533333333334
0,T8080,3000,M3,548.5,0.38087261904761904,5332.216666666666
0,T8080,3000,M3,490.0,0.38178214285714285,5344.95
0,T8080,3000,M3,460.5,0.38262142857142856,5356.7
0,T8080,3000,M3,466.0,0.3834738095238095,5368.633333333333
0,T8080,3000,M3,460.0,0.38431190476190474,5380.366666666667
0,T8080,3000,M3,482.0,0.3852023809523809,5392.833333333333
0,T8080,3000,M3,506.5,0.3861511904761905,5406.116666666667
0,T8080,3000,M3,525.5,0.3871452380952381,5420.033333333334
0,T8080,3000,M3,575.5,0.3882583333333333,5435.616666666667
0,T8080,3000,M3,604.5,0.3894404761904762,5452.166666666667
0,T8080,3000,M3,660.5,0.39075595238095234,5470.583333333333
0,T8080,3000,M3,735.5,0.39225,5491.5
0,T8080,3000,M3,804.0,0.39390714285714284,5514.7
0,T8080,3000,M3,912.0,0.39582142857142855,5541.5
0,T8080,3000,M3,998.0,0.39794047619047623,5571.166666666667
0,T8080,3000,M3,1084.0,0.4002642857142857,5603.7
0,T8080,3000,M3,1169.5,0.40279166666666666,5639.083333333333
0,T8080,3000,M3,1189.0,0.4053654761904762,5675.116666666667
