Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T0000,0,M333,114.5,0.008151190476190475,0.0
0,T0000,0,M333,10615.5,0.03315357142857143,464.15
0,T0000,0,M333,22688.0,0.08690119047619047,1216.6166666666666
0,T0000,0,M333,28180.5,0.15372619047619046,2152.1666666666665
0,T0000,0,M333,30680.5,0.22650357142857144,3171.05
0,T0000,0,M333,28291.5,0.29359285714285716,4110.3
0,T0000,0,M333,14373.0,0.3275428571428572,4585.6
0,T0000,0,M333,6761.0,0.34336904761904763,4807.166666666667
0,T0000,0,M333,3347.5,0.3510666666666667,4914.933333333333
0,T0000,0,M333,1753.0,0.35496904761904763,4969.566666666667
0,T0000,0,M333,1051.5,0.3572,5000.8
0,T0000,0,M333,702.5,0.3586011904761905,5020.416666666667
0,T0000,0,M333,530.0,0.3595904761904762,5034.266666666666
0,T0000,0,M333,481.5,0.3604654761904762,5046.516666666666
0,T0000,0,M333,421.5,0.36119761904761905,5056.766666666666
0,T0000,0,M333,434.5,0.36196071428571425,5067.45
0,T0000,0,M333,421.5,0.36269285714285715,5077.7
0,T0000,0,M333,409.0,0.3633952380952381,5087.533333333334
0,T0000,0,M333,454.0,0.3642047619047619,5098.866666666667
0,T0000,0,M333,444.0,0.3649904761904762,5109.866666666667
0,T0000,0,M333,495.0,0.365897619047619,5122.566666666667
502,T0000,0,M333,520.5,0.3668654761904762,5136.116666666667
502,T0000,0,M333,528.5,0.36785238095238093,5149.933333333333
502,T0000,0,M333,610.5,0.3690333333333333,5166.466666666666
502,T0000,0,M333,621.5,0.37024166666666664,5183.383333333333
502,T8080,3000,M333,691.5,0.37161666666666665,5202.633333333333
502,T8080,3000,M333,745.5,0.3731202380952381,5223.683333333333
502,T8080,3000,M3,759.5,0.3746559523809524,5245.183333333333
502,T8080,3000,M3,856.5,0.37642380952380955,5269.933333333333
502,T8080,3000,M3,868.5,0.3782202380952381,5295.083333333333
502,T8080,3000,M3,917.5,0.38013214285714286,5321.85
502,T8080,3000,M3,941.0,0.35709761904761905,4999.366666666667
502,T8080,3000,M3,906.0,0.3052357142857143,4273.3
502,T8080,3000,M3,938.0,0.24037261904761906,3365.2166666666667
502,T8080,3000,M3,893.5,0.16945119047619048,2372.3166666666666
502,T8080,3000,M3,894.0,0.10421904761904761,1459.0666666666666
502,T8080,3000,M3,890.0,0.07211666666666666,1009.6333333333333
502,T8080,3000,M3,832.0,0.058,812.0
502,T8080,3000,M3,5348.0,0.06276309523809523,878.6833333333333
502,T8080,3000,M3,19811.0,0.10575833333333333,1480.6166666666666
502,T8080,3000,M3,26872.0,0.1672357142857143,2341.3
502,T8080,3000,M3,30084.5,0.23719285714285712,3320.7
502,T8080,3000,M3,31516.5,0.31097023809523805,4353.583333333333
502,T8080,3000,M3,25791.5,0.37123214285714284,5197.25
502,T8080,3000,M3,13450.0,0.402252380952381,5631.533333333334
502,T8080,3000,M3,6287.5,0.41618809523809525,5826.633333333333
502,T8080,3000,M3,3200.5,0.4228047619047619,5919.266666666666
502,T8080,3000,M3,1933.5,0.4264345238095238,5970.083333333333
502,T8080,3000,M3,1353.5,0.4285761904761905,6000.066666666667
502,T8080,3000,M3,1132.5,0.4302154761904762,6023.016666666666
502,T8080,3000,M3,977.0,0.43136309523809524,6039.083333333333
502,T8080,3000,M3,931.5,0.4323416666666667,6052.783333333334
502,T8080,3000,M3,963.5,0.433377380952381,6067.283333333334
502,T8080,3000,M3,975.5,0.43424642857142853,6079.45
502,T8080,3000,M3,1109.0,0.4354071428571428,6095.7
502,T8080,3000,M3,1221.0,0.43666785714285716,6113.35
502,T8080,3000,M3,1460.5,0.4383702380952381,6137.183333333333
502,T8080,3000,M3,1874.5,0.441025,6174.35
502,T8080,3000,M3,2483.0,0.44489761904761904,6228.566666666667
502,T8080,3000,M3,2989.5,0.44994761904761904,6299.266666666666
502,T8080,3000,M3,2704.0,0.45420119047619045,6358.816666666667
502,T8080,3000,M3,1858.0,0.4563845238095238,6389.383333333333
502,T8080,3000,M3,1412.5,0.45759047619047616,6406.266666666666
502,T8080,3000,M3,1291.0,0.45843095238095244,6418.033333333334
502,T8080,3000,M3,2070.5,0.46123333333333333,6457.266666666666
