Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T0000,0,M20,2575.0,0.014255952380952381,0.0
0,T0000,0,M20,17103.5,0.054698809523809525,765.7833333333333
0,T0000,0,M20,25640.0,0.11546547619047619,1616.5166666666667
0,T0000,0,M20,29524.0,0.18548214285714285,2596.75
0,T0000,0,M20,31291.5,0.2597059523809524,3635.883333333333
0,T0000,0,M20,21906.5,0.3115857142857143,4362.2
0,T8080,3000,M20,10237.5,0.3356797619047619,4699.516666666666
0,T8080,3000,M20,4900.5,0.3470690476190476,4858.966666666666
0,T8080,3000,M3,2490.0,0.3527166666666667,4938.033333333334
0,T8080,3000,M3,1369.0,0.3556964285714286,4979.75
0,T8080,3000,M3,859.0,0.35746190476190476,5004.466666666666
0,T8080,3000,M3,615.0,0.35864523809523813,5021.033333333334
0,T8080,3000,M3,494.5,0.35954166666666665,5033.583333333333
0,T8080,3000,M3,451.5,0.36033571428571426,5044.7
0,T8080,3000,M3,420.5,0.3610559523809524,5054.783333333334
0,T8080,3000,M3,422.5,0.3617833333333333,5064.966666666666
0,T8080,3000,M3,426.0,0.36251785714285717,5075.25
0,T8080,3000,M3,430.5,0.36326309523809525,5085.683333333333
0,T8080,3000,M3,456.5,0.36406904761904757,5096.966666666666
0,T8080,3000,M3,465.0,0.3648952380952381,5108.533333333334
0,T8080,3000,M3,497.0,0.3657976190476191,5121.166666666667
0,T8080,3000,M3,532.5,0.36678571428571427,5135.0
0,T8080,3000,M3,557.0,0.36783214285714283,5149.65
0,T8080,3000,M3,617.0,0.36902023809523815,5166.283333333334
0,T8080,3000,M3,655.0,0.3703011904761904,5184.216666666666
0,T8080,3000,M3,714.0,0.3717214285714286,5204.1
0,T8080,3000,M3,773.0,0.3732809523809524,5225.933333333333
0,T8080,3000,M3,805.0,0.3749166666666666,5248.833333333333
0,T8080,3000,M3,866.5,0.3766988095238096,5273.783333333334
0,T8080,3000,M3,890.5,0.3785380952380953,5299.533333333334
0,T8080,3000,M3,918.5,0.37459404761904763,5244.316666666667
0,T8080,3000,M3,945.0,0.33612142857142857,4705.7
0,T8080,3000,M3,947.0,0.2773285714285714,3882.6
0,T8080,3000,M3,996.0,0.2094047619047619,2931.6666666666665
0,T8080,3000,M3,1067.5,0.13744285714285714,1924.2
0,T8080,3000,M3,1202.5,0.08814761904761904,1234.0666666666666
0,T8080,3000,M3,1107.5,0.06640952380952381,929.7333333333333
0,T8080,3000,M3,938.0,0.056975,797.65
0,T8080,3000,M3,12645.5,0.08115476190476191,1136.1666666666667
0,T8080,3000,M3,23611.5,0.13411309523809523,1877.5833333333333
0,T8080,3000,M3,28601.0,0.2001654761904762,2802.3166666666666
0,T8080,3000,M3,30871.5,0.2722047619047619,3810.866666666667
0,T8080,3000,M3,30332.0,0.34324642857142856,4805.45
0,T8080,3000,M3,19243.0,0.38798809523809524,5431.833333333333
0,T8080,3000,M3,9146.5,0.4087642857142857,5722.7
0,T8080,3000,M3,4380.5,0.41818809523809525,5854.633333333333
785,T8080,3000,M3,2429.5,0.4229583333333334,5921.416666666667
