Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T0000,0,M20,123.5,0.00885357142857143,0.0
0,T0000,0,M20,7648.5,0.02676904761904762,374.76666666666665
0,T0000,0,M20,21337.5,0.07727738095238096,1081.8833333333334
33941,T0000,0,M20,27566.5,0.14261666666666667,1996.6333333333334
33941,T0000,0,M20,30401.0,0.21470476190476193,3005.866666666667
33941,T0000,0,M20,29844.5,0.28546785714285716,3996.55
33941,T0000,0,M20,16526.5,0.32452142857142857,4543.3
33941,T0000,0,M20,7745.0,0.3426666666666666,4797.333333333333
33941,T0000,0,M20,3774.0,0.35135714285714287,4919.0
33941,T8080,3000,M20,1961.5,0.35573214285714283,4980.25
33941,T8080,3000,M20,1139.5,0.3581488095238095,5014.083333333333
33941,T8080,3000,M3,739.0,0.3596130952380952,5034.583333333333
33941,T8080,3000,M3,572.0,0.36067976190476186,5049.516666666666
33941,T8080,3000,M3,482.5,0.3615333333333333,5061.466666666666
33941,T8080,3000,M3,431.5,0.36226547619047617,5071.716666666666
33941,T8080,3000,M3,428.0,0.36298928571428574,5081.85
33941,T8080,3000,M3,407.0,0.36366309523809526,5091.283333333334
33941,T8080,3000,M3,428.5,0.36438809523809523,5101.433333333333
33941,T8080,3000,M3,437.5,0.3651345238095238,5111.883333333333
33941,T8080,3000,M3,439.5,0.36588571428571426,5122.4
33941,T8080,3000,M3,487.0,0.36675,5134.5
33941,T8080,3000,M3,496.0,0.36763571428571423,5146.9
33941,T8080,3000,M3,547.0,0.36864285714285716,5161.0
33941,T8080,3000,M3,589.0,0.36975,5176.5
33941,T8080,3000,M3,605.0,0.3708952380952381,5192.533333333334
33941,T8080,3000,M3,686.5,0.3722345238095238,5211.283333333334
33941,T8080,3000,M3,720.5,0.37365476190476193,5231.166666666667
33941,T8080,3000,M3,788.0,0.3752357142857143,5253.3
33941,T8080,3000,M3,858.5,0.3769869047619048,5277.816666666667
33941,T8080,3000,M3,887.0,0.37880476190476187,5303.266666666666
33941,T8080,3000,M3,989.0,0.3808654761904762,5332.116666666667
33941,T8080,3000,M3,1033.0,0.3651142857142857,5111.6
33941,T8080,3000,M3,1125.5,0.3169904761904762,4437.866666666667
33941,T8080,3000,M3,1315.0,0.2544869047619048,3562.8166666666666
33941,T8080,3000,M3,1575.5,0.1858547619047619,2601.9666666666667
33941,T8080,3000,M3,1968.0,0.11948214285714286,1672.75
33941,T8080,3000,M3,1944.5,0.08476309523809525,1186.6833333333334
33941,T8080,3000,M3,1402.0,0.06966071428571428,975.25
33941,T8080,3000,M3,4015.0,0.0702345238095238,983.2833333333333
33941,T8080,3000,M3,18163.0,0.1088095238095238,1523.3333333333333
