Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T0000,0,M333,94.0,0.006707142857142858,0.0
0,T0000,0,M333,4196.0,0.016473809523809523,230.63333333333333
0,T0000,0,M333,18947.0,0.06136190476190476,859.0666666666667
0,T0000,0,M333,26479.0,0.12418333333333333,1738.5666666666666
0,T0000,0,M333,29906.0,0.19516428571428573,2732.3
0,T0000,0,M333,31107.0,0.2690047619047619,3766.0666666666666
0,T0000,0,M333,19464.5,0.315125,4411.75
0,T0000,0,M333,9100.0,0.33656785714285714,4711.95
0,T0000,0,M333,4395.0,0.3468095238095238,4855.333333333333
0,T0000,0,M333,2252.0,0.351947619047619,4927.266666666666
0,T0000,0,M333,1276.0,0.3547619047619048,4966.666666666667
0,T0000,0,M333,808.5,0.3564630952380953,4990.483333333334
0,T0000,0,M333,616.0,0.35770714285714283,5007.9
0,T0000,0,M333,508.0,0.35869285714285715,5021.7
0,T0000,0,M333,454.0,0.35955,5033.7
0,T0000,0,M333,440.5,0.360375,5045.25
0,T0000,0,M333,422.5,0.36115714285714284,5056.2
0,T0000,0,M333,448.5,0.36200119047619045,5068.016666666666
0,T0000,0,M333,454.5,0.36285952380952385,5080.033333333334
514,T0000,0,M333,463.0,0.3637380952380952,5092.333333333333
514,T0000,0,M333,501.5,0.36470833333333336,5105.916666666667
514,T0000,0,M333,521.0,0.36572499999999997,5120.15
514,T0000,0,M333,577.5,0.36687619047619047,5136.266666666666
514,T0000,0,M333,613.5,0.3681142857142857,5153.6
514,T0000,0,M333,640.5,0.3694154761904762,5171.816666666667
514,T8080,3000,M333,712.0,0.37088809523809524,5192.433333333333
514,T8080,3000,M333,758.0,0.37247023809523805,5214.583333333333
514,T8080,3000,M3,830.5,0.3742238095238095,5239.133333333333
514,T8080,3000,M3,885.0,0.37610714285714286,5265.5
514,T8080,3000,M3,908.5,0.3780476190476191,5292.666666666667
514,T8080,3000,M3,965.5,0.380122619047619,5321.716666666666
514,T8080,3000,M3,969.5,0.3724404761904762,5214.166666666667
514,T8080,3000,M3,980.0,0.32966190476190477,4615.266666666666
514,T8080,3000,M3,965.5,0.2689154761904762,3764.8166666666666
514,T8080,3000,M3,925.0,0.19991309523809522,2798.7833333333333
514,T8080,3000,M3,953.5,0.12811904761904763,1793.6666666666667
514,T8080,3000,M3,987.0,0.084125,1177.75
514,T8080,3000,M3,964.5,0.06475476190476191,906.5666666666667
514,T8080,3000,M3,1152.5,0.05703452380952381,798.4833333333333
514,T8080,3000,M3,15029.0,0.08745595238095238,1224.3833333333334
514,T8080,3000,M3,24696.0,0.14321785714285715,2005.05
514,T8080,3000,M3,29094.5,0.2105654761904762,2947.9166666666665
514,T8080,3000,M3,31096.0,0.28313690476190473,3963.9166666666665
514,T8080,3000,M3,29633.5,0.3524833333333333,4934.766666666666
514,T8080,3000,M3,17808.5,0.3938035714285714,5513.25
514,T8080,3000,M3,8358.0,0.4126547619047619,5777.166666666667
514,T8080,3000,M3,4064.0,0.421325,5898.55
514,T8080,3000,M3,2329.0,0.425802380952381,5961.233333333334
514,T8080,3000,M3,1542.0,0.42839166666666667,5997.483333333334
514,T8080,3000,M3,1226.0,0.43020833333333336,6022.916666666667
514,T8080,3000,M3,1061.5,0.43154166666666666,6041.583333333333
514,T8080,3000,M3,979.5,0.43263333333333337,6056.866666666667
514,T8080,3000,M3,1001.0,0.4336416666666667,6070.983333333334
514,T8080,3000,M3,1015.0,0.43459761904761907,6084.366666666667
514,T8080,3000,M3,1121.0,0.43574166666666664,6100.383333333333
514,T8080,3000,M3,1238.0,0.43699404761904764,6117.916666666667
514,T8080,3000,M3,1419.5,0.4385690476190476,6139.966666666666
514,T8080,3000,M3,1645.5,0.4405095238095238,6167.133333333333
514,T8080,3000,M3,1833.5,0.44276785714285716,6198.75
514,T8080,3000,M3,2176.0,0.4457857142857143,6241.0
514,T8080,3000,M3,2528.0,0.44950595238095237,6293.083333333333
514,T8080,3000,M3,2092.5,0.4521797619047619,6330.516666666666
514,T8080,3000,M3,1588.5,0.45362857142857144,6350.8
514,T8080,3000,M3,1316.5,0.4544642857142857,6362.5
514,T8080,3000,M3,1767.5,0.45647023809523807,6390.583333333333
294,T8080,3000,M3,2678.5,0.46057738095238093,6448.083333333333
294,T8080,3000,M3,3186.0,0.4658130952380952,6521.383333333333
294,T8080,3000,M3,3423.5,0.4716678571428572,6603.35
294,T8080,3000,M3,3447.0,0.4771309523809524,6679.833333333333
294,T8080,3000,M3,3380.0,0.4493952380952381,6291.533333333334
294,T8080,3000,M3,3356.0,0.39858571428571427,5580.2
294,T8080,3000,M3,3317.0,0.33721071428571425,4720.95
294,T8080,3000,M3,3625.5,0.27180476190476194,3805.266666666667
294,T8080,3000,M3,4986.0,0.2131202380952381,2983.6833333333334
294,T8080,3000,M3,6701.5,0.18667499999999998,2613.45
294,T8080,3000,M3,8212.5,0.18632857142857143,2608.6
294,T8080,3000,M3,8824.0,0.1976619047619048,2767.266666666667
294,T8080,3000,M3,8827.0,0.21313333333333334,2983.866666666667
294,T8080,3000,M3,8696.0,0.23016666666666669,3222.3333333333335
294,T8080,3000,M3,8700.0,0.24796190476190477,3471.4666666666667
294,T8080,3000,M3,8789.0,0.2663607142857143,3729.05
294,T8080,3000,M3,8998.0,0.28545238095238096,3996.3333333333335
294,T8080,3000,M3,9193.0,0.3049571428571428,4269.4
294,T8080,3000,M3,9369.5,0.3248488095238095,4547.883333333333
294,T8080,3000,M3,9532.0,0.344875,4828.25
294,T8080,3000,M3,9637.0,0.36487261904761903,5108.216666666666
294,T8080,3000,M3,9654.0,0.3844785714285714,5382.7
294,T8080,3000,M3,9664.0,0.4035702380952381,5649.983333333334
294,T8080,3000,M3,9713.5,0.4223321428571428,5912.65
294,T8080,3000,M3,9754.5,0.4403761904761905,6165.266666666666
294,T8080,3000,M3,9935.0,0.4580119047619048,6412.166666666667
294,T8080,3000,M3,10016.5,0.47687857142857143,6676.3
294,T8080,3000,M3,10205.5,0.4973952380952381,6963.533333333334
294,T8080,3000,M3,10421.5,0.5190738095238095,7267.033333333334
294,T8080,3000,M3,10087.5,0.5388833333333334,7544.366666666667
294,T8080,3000,M3,8177.5,0.5519761904761905,7727.666666666667
294,T8080,3000,M3,6607.0,0.5601214285714285,7841.7
294,T8080,3000,M3,6009.0,0.5662773809523809,7927.883333333333
294,T8080,3000,M3,6064.5,0.5725095238095238,8015.133333333333
294,T8080,3000,M3,6434.0,0.5797809523809524,8116.933333333333
294,T8080,3000,M3,6897.0,0.5882119047619048,8234.966666666667
294,T8080,3000,M3,7180.5,0.5974107142857142,8363.75
294,T8080,3000,M3,7166.5,0.6058416666666666,8481.783333333333
294,T8080,3000,M3,6890.5,0.6103761904761904,8545.266666666666
294,T8080,3000,M3,6544.5,0.6100023809523809,8540.033333333333
294,T8080,3000,M3,6256.0,0.6053440476190477,8474.816666666668
294,T8080,3000,M3,6115.0,0.5988940476190476,8384.516666666666
294,T8080,3000,M3,6091.0,0.5923797619047619,8293.316666666668
294,T8080,3000,M3,6141.0,0.5862964285714285,8208.15
294,T8080,3000,M3,6230.5,0.5804166666666667,8125.833333333333
294,T8080,3000,M3,6332.0,0.5745666666666667,8043.933333333333
359,T8080,3000,M3,6369.5,0.5683083333333333,7956.316666666667
359,T8080,3000,M3,6280.5,0.5613738095238096,7859.233333333334
359,T8080,3000,M3,6096.5,0.5535809523809524,7750.133333333333
359,T8080,3000,M3,5877.5,0.544879761904762,7628.316666666667
359,T8080,3000,M3,5674.0,0.5354440476190476,7496.216666666666
359,T8080,3000,M3,5513.5,0.5255857142857143,7358.2
359,T8080,3000,M3,5445.5,0.5155416666666667,7217.583333333333
359,T8080,3000,M3,5448.5,0.5053869047619047,7075.416666666667
359,T8080,3000,M3,5476.5,0.4952011904761905,6932.816666666667
359,T8080,3000,M3,5476.5,0.4845857142857143,6784.2
359,T8080,3000,M3,5479.0,0.4737821428571428,6632.95
359,T8080,3000,M3,5476.5,0.46252261904761904,6475.316666666667
359,T8080,3000,M3,5438.0,0.45065714285714287,6309.2
359,T8080,3000,M3,5343.5,0.43936190476190473,6151.066666666667
359,T8080,3000,M3,5283.0,0.43247023809523805,6054.583333333333
359,T8080,3000,M3,5258.5,0.4292595238095238,6009.633333333333
359,T8080,3000,M3,5241.5,0.42743214285714287,5984.05
359,T8080,3000,M3,5183.0,0.42533333333333334,5954.666666666667
359,T8080,3000,M3,5168.0,0.4223190476190476,5912.466666666666
359,T8080,3000,M3,5161.0,0.4181857142857143,5854.6
359,T8080,3000,M3,5153.5,0.41335952380952384,5787.033333333334
359,T8080,3000,M3,5095.0,0.40842738095238096,5717.983333333334
359,T8080,3000,M3,5066.0,0.40408333333333335,5657.166666666667
359,T8080,3000,M3,5033.5,0.4004857142857143,5606.8
359,T8080,3000,M3,5030.0,0.3975666666666667,5565.933333333333
359,T8080,3000,M3,5065.0,0.3950666666666667,5530.933333333333
359,T8080,3000,M3,5219.0,0.3929904761904762,5501.866666666667
359,T8080,3000,M3,5355.5,0.3911202380952381,5475.683333333333
359,T8080,3000,M3,5414.5,0.38917738095238097,5448.483333333334
359,T8080,3000,M3,5379.5,0.3869095238095238,5416.733333333334
359,T8080,3000,M3,5337.0,0.3844511904761905,5382.316666666667
359,T8080,3000,M3,5291.5,0.3820964285714286,5349.35
359,T8080,3000,M3,5248.5,0.3800773809523809,5321.083333333333
359,T8080,3000,M3,5192.5,0.3784464285714286,5298.25
359,T8080,3000,M3,5173.5,0.3772547619047619,5281.566666666667
359,T8080,3000,M3,5164.0,0.3764226190476191,5269.916666666667
359,T8080,3000,M3,5159.5,0.37574166666666664,5260.383333333333
359,T8080,3000,M3,5146.5,0.375022619047619,5250.316666666667
359,T8080,3000,M3,5181.5,0.3743202380952381,5240.483333333334
359,T8080,3000,M3,5275.5,0.3738416666666667,5233.783333333334
359,T8080,3000,M3,5500.0,0.3738916666666667,5234.483333333334
359,T8080,3000,M3,5820.0,0.3747095238095238,5245.933333333333
359,T8080,3000,M3,6081.5,0.37624166666666664,5267.383333333333
359,T8080,3000,M3,6093.0,0.37802619047619046,5292.366666666667
359,T8080,3000,M3,5469.5,0.37847023809523805,5298.583333333333
359,T8080,3000,M3,4188.0,0.3759214285714286,5262.9
24000,T8080,3000,M3,2809.0,0.3701297619047619,5181.816666666667
24000,T8080,3000,M3,1923.5,0.36236904761904765,5073.166666666667
24000,T8080,3000,M3,1548.5,0.35375119047619047,4952.516666666666
24000,T8080,3000,M3,1439.0,0.3448892857142857,4828.45
24000,T8080,3000,M3,1434.0,0.3360333333333333,4704.466666666666
24000,T8080,3000,M3,1477.5,0.32742023809523807,4583.883333333333
24000,T2030,9000,M3,1534.5,0.3190119047619048,4466.166666666667
24000,T2030,9000,M3,1663.0,0.31098690476190477,4353.816666666667
24000,T2030,9000,M1,1849.0,0.3034130952380953,4247.783333333334
24000,T2030,9000,M1,2011.5,0.29614285714285715,4146.0
24000,T2030,9000,M1,2040.0,0.2885738095238095,4040.0333333333333
24000,T2030,9000,M1,1969.5,0.28051190476190474,3927.1666666666665
24000,T2030,9000,M1,1856.0,0.2720392857142857,3808.55
24000,T2030,9000,M1,1737.5,0.26336785714285715,3687.15
24000,T2030,9000,M1,1617.5,0.2545119047619048,3563.1666666666665
24000,T2030,9000,M1,1579.0,0.24567261904761903,3439.4166666666665
24000,T2030,9000,M1,1599.0,0.23698333333333335,3317.766666666667
24000,T2030,9000,M1,1651.0,0.2285511904761905,3199.7166666666667
24000,T2030,9000,M1,1679.5,0.22023214285714285,3083.25
