Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T0000,0,M8,740.0,0.011708333333333333,0.0
0,T0000,0,M8,15016.0,0.04711785714285714,659.65
0,T0000,0,M8,24690.0,0.1055595238095238,1477.8333333333333
0,T0000,0,M8,29091.5,0.17448214285714286,2442.75
0,T0000,0,M8,31095.0,0.24817499999999998,3474.45
0,T0000,0,M8,24165.5,0.30536904761904765,4275.166666666667
0,T0000,0,M8,11389.5,0.3321440476190476,4650.016666666666
0,T0000,0,M8,5416.0,0.34469642857142857,4825.75
0,T0000,0,M8,2714.5,0.35081666666666667,4911.433333333333
0,T0000,0,M8,1480.5,0.3539988095238095,4955.983333333334
0,T0000,0,M8,897.0,0.3557916666666667,4981.083333333333
0,T0000,0,M8,636.0,0.3569630952380953,4997.483333333334
0,T0000,0,M8,502.0,0.3578154761904762,5009.416666666667
0,T0000,0,M8,441.5,0.3585238095238095,5019.333333333333
0,T0000,0,M8,421.0,0.35918333333333335,5028.566666666667
0,T0000,0,M8,399.5,0.3597916666666666,5037.083333333333
0,T0000,0,M8,415.0,0.36043690476190476,5046.116666666667
0,T0000,0,M8,421.5,0.3610964285714286,5055.35
0,T0000,0,M8,435.5,0.36179047619047616,5065.066666666667
0,T0000,0,M8,466.0,0.36255714285714286,5075.8
0,T0000,0,M8,467.0,0.36332619047619047,5086.566666666667
0,T0000,0,M8,512.5,0.36420357142857146,5098.85
0,T0000,0,M8,541.5,0.36515000000000003,5112.1
0,T0000,0,M8,573.5,0.36617261904761905,5126.416666666667
0,T0000,0,M8,638.0,0.3673488095238095,5142.883333333333
0,T0000,0,M8,663.5,0.3685857142857143,5160.2
0,T0000,0,M8,738.5,0.37000119047619046,5180.016666666666
0,T0000,0,M8,788.0,0.3715333333333333,5201.466666666666
96,T0000,0,M8,818.5,0.37313928571428573,5223.95
96,T0000,0,M8,880.0,0.3748916666666667,5248.483333333334
96,T0000,0,M8,878.0,0.3752202380952381,5253.083333333333
96,T0000,0,M8,910.0,0.3416345238095238,4782.883333333333
96,T0000,0,M8,910.0,0.2850154761904762,3990.2166666666667
96,T0000,0,M8,893.5,0.21787738095238096,3050.2833333333333
96,T8080,3000,M8,990.0,0.1461988095238095,2046.7833333333333
96,T8080,3000,M8,1129.5,0.09135119047619047,1278.9166666666667
96,T8080,3000,M3,1136.5,0.06693928571428572,937.15
96,T8080,3000,M3,964.0,0.05633928571428572,788.75
96,T8080,3000,M3,9929.5,0.07351785714285715,1029.25
96,T8080,3000,M3,22375.5,0.12326785714285714,1725.75
96,T8080,3000,M3,28039.0,0.18789166666666665,2630.483333333333
96,T8080,3000,M3,30615.5,0.2592714285714286,3629.8
96,T8080,3000,M3,30957.0,0.3317833333333333,4644.966666666666
96,T8080,3000,M3,21277.0,0.3813916666666667,5339.483333333334
96,T8080,3000,M3,10251.5,0.4047976190476191,5667.166666666667
96,T8080,3000,M3,4833.0,0.41535357142857143,5814.95
96,T8080,3000,M3,2612.5,0.4205857142857143,5888.2
96,T8080,3000,M3,1644.0,0.42349642857142855,5928.95
96,T8080,3000,M3,1240.0,0.42541190476190477,5955.766666666666
96,T8080,3000,M3,1046.0,0.4267928571428572,5975.1
96,T8080,3000,M3,958.5,0.4279630952380953,5991.483333333334
96,T8080,3000,M3,941.5,0.42898452380952384,6005.783333333334
96,T8080,3000,M3,938.5,0.4299297619047619,6019.016666666666
96,T8080,3000,M3,1011.0,0.4309714285714286,6033.6
96,T8080,3000,M3,1121.5,0.432122619047619,6049.716666666666
96,T8080,3000,M3,1282.5,0.4335964285714286,6070.35
96,T8080,3000,M3,1600.0,0.43564761904761906,6099.066666666667
96,T8080,3000,M3,2256.0,0.43914285714285717,6148.0
96,T8080,3000,M3,2810.5,0.4438857142857143,6214.4
96,T8080,3000,M3,3096.0,0.44916190476190476,6288.266666666666
96,T8080,3000,M3,2518.5,0.45306785714285713,6342.95
96,T8080,3000,M3,1708.0,0.45496785714285715,6369.55
96,T8080,3000,M3,1308.0,0.4559154761904762,6382.816666666667
96,T8080,3000,M3,1405.5,0.4571345238095238,6399.883333333333
96,T8080,3000,M3,2279.5,0.4602047619047619,6442.866666666667
96,T8080,3000,M3,2920.0,0.46446785714285715,6502.55
96,T8080,3000,M3,3319.0,0.4696642857142857,6575.3
96,T8080,3000,M3,3428.0,0.4755309523809524,6657.433333333333
96,T8080,3000,M3,3429.0,0.46005357142857145,6440.75
96,T8080,3000,M3,3358.5,0.414775,5806.85
96,T8080,3000,M3,3311.5,0.35590000000000005,4982.6
96,T8080,3000,M3,3427.0,0.29116547619047617,4076.3166666666666
96,T8080,3000,M3,4708.5,0.22866904761904763,3201.366666666667
96,T8080,3000,M3,6313.0,0.19304047619047618,2702.5666666666666
311,T8080,3000,M3,7709.5,0.18698809523809526,2617.8333333333335
311,T8080,3000,M3,8624.0,0.1960142857142857,2744.2
311,T8080,3000,M3,8905.5,0.21099761904761904,2953.9666666666667
311,T8080,3000,M3,8884.5,0.22823690476190475,3195.3166666666666
311,T8080,3000,M3,8854.0,0.2463654761904762,3449.116666666667
311,T8080,3000,M3,8893.5,0.26505,3710.7
311,T8080,3000,M3,9103.0,0.28444166666666665,3982.1833333333334
311,T8080,3000,M3,9335.5,0.304427380952381,4261.983333333334
311,T8080,3000,M3,9538.5,0.3249035714285714,4548.65
311,T8080,3000,M3,9702.0,0.3455964285714286,4838.35
311,T8080,3000,M3,9784.5,0.36622261904761905,5127.116666666667
311,T8080,3000,M3,9813.5,0.3865345238095238,5411.483333333334
311,T8080,3000,M3,9873.0,0.4062321428571429,5687.25
311,T8080,3000,M3,9926.5,0.4244952380952381,5942.933333333333
311,T8080,3000,M3,10013.0,0.4416440476190476,6183.016666666666
311,T8080,3000,M3,10126.0,0.4583821428571429,6417.35
311,T8080,3000,M3,10267.0,0.47683095238095236,6675.633333333333
311,T8080,3000,M3,10355.0,0.49741904761904765,6963.866666666667
311,T8080,3000,M3,10619.0,0.5195880952380952,7274.233333333334
311,T8080,3000,M3,10581.0,0.5414345238095238,7580.083333333333
311,T8080,3000,M3,9097.5,0.5576678571428572,7807.35
311,T8080,3000,M3,7223.0,0.5679130952380953,7950.783333333334
311,T8080,3000,M3,6348.0,0.575125,8051.75
311,T8080,3000,M3,6258.5,0.5818642857142857,8146.1
311,T8080,3000,M3,6555.0,0.5893071428571428,8250.3
311,T8080,3000,M3,7028.0,0.5980440476190476,8372.616666666667
311,T8080,3000,M3,7399.0,0.6077761904761905,8508.866666666667
311,T8080,3000,M3,7491.0,0.617452380952381,8644.333333333334
311,T8080,3000,M3,7267.0,0.6235440476190476,8729.616666666667
311,T8080,3000,M3,6933.0,0.6250202380952381,8750.283333333333
311,T8080,3000,M3,6621.0,0.6224285714285714,8714.0
311,T8080,3000,M3,6438.5,0.617225,8641.15
311,T8080,3000,M3,6355.0,0.6111523809523809,8556.133333333333
311,T8080,3000,M3,6386.0,0.6052035714285715,8472.85
311,T8080,3000,M3,6482.0,0.5995559523809524,8393.783333333333
311,T8080,3000,M3,6626.5,0.5941583333333333,8318.216666666667
311,T8080,3000,M3,6684.0,0.5883988095238095,8237.583333333334
311,T8080,3000,M3,6641.5,0.5819845238095238,8147.783333333334
311,T8080,3000,M3,6499.5,0.5747488095238096,8046.483333333334
