Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T0000,0,M333,120.0,0.008571428571428572,0.0
0,T0000,0,M333,10619.5,0.0335702380952381,469.98333333333335
0,T0000,0,M333,22689.5,0.08730714285714285,1222.3
0,T0000,0,M333,28181.5,0.1541202380952381,2157.6833333333334
0,T0000,0,M333,30680.5,0.22688333333333335,3176.366666666667
0,T0000,0,M333,28343.0,0.2940809523809524,4117.133333333333
0,T0000,0,M333,14437.5,0.3281702380952381,4594.383333333333
0,T0000,0,M333,6800.5,0.3440761904761905,4817.066666666667
0,T0000,0,M333,3364.0,0.3518,4925.2
0,T0000,0,M333,1772.0,0.3557333333333333,4980.266666666666
0,T0000,0,M333,1053.5,0.35795595238095235,5011.383333333333
0,T0000,0,M333,703.0,0.3593440476190476,5030.816666666667
0,T0000,0,M333,536.5,0.36033571428571426,5044.7
0,T0000,0,M333,476.0,0.36118333333333336,5056.566666666667
0,T0000,0,M333,422.0,0.3619023809523809,5066.633333333333
0,T0000,0,M333,421.5,0.3626202380952381,5076.683333333333
0,T0000,0,M333,413.5,0.3633190476190476,5086.466666666666
514,T0000,0,M333,420.5,0.36403452380952384,5096.483333333334
514,T0000,0,M333,452.5,0.36482619047619047,5107.566666666667
514,T0000,0,M333,448.0,0.36560714285714285,5118.5
514,T0000,0,M333,480.5,0.36646547619047615,5130.516666666666
514,T0000,0,M333,500.5,0.36737142857142857,5143.2
514,T0000,0,M333,533.0,0.36835476190476185,5156.966666666666
514,T8080,3000,M333,593.0,0.3694809523809524,5172.733333333334
514,T8080,3000,M333,617.5,0.3706654761904762,5189.316666666667
514,T8080,3000,M3,681.0,0.37200119047619046,5208.016666666666
514,T8080,3000,M3,736.0,0.37346785714285713,5228.55
514,T8080,3000,M3,785.5,0.37505238095238097,5250.733333333334
514,T8080,3000,M3,858.0,0.37680952380952376,5275.333333333333
514,T8080,3000,M3,876.0,0.37860952380952384,5300.533333333334
514,T8080,3000,M3,915.5,0.38050357142857144,5327.05
514,T8080,3000,M3,929.0,0.3574309523809524,5004.033333333334
514,T8080,3000,M3,926.5,0.3056142857142857,4278.6
514,T8080,3000,M3,939.5,0.24075238095238094,3370.5333333333333
514,T8080,3000,M3,947.0,0.16995833333333332,2379.4166666666665
514,T8080,3000,M3,1210.0,0.10535595238095238,1474.9833333333333
514,T8080,3000,M3,1317.0,0.07411666666666668,1037.6333333333334
514,T8080,3000,M3,1063.0,0.06045595238095238,846.3833333333333
514,T8080,3000,M3,5428.5,0.06537142857142858,915.2
514,T8080,3000,M3,19848.5,0.10841071428571429,1517.75
514,T8080,3000,M3,26888.5,0.16992261904761904,2378.9166666666665
514,T8080,3000,M3,30092.0,0.2398964285714286,3358.55
514,T8080,3000,M3,31450.0,0.3135,4389.0
514,T8080,3000,M3,24816.5,0.37145357142857144,5200.35
514,T8080,3000,M3,12676.0,0.4006297619047619,5608.816666666667
514,T8080,3000,M3,5894.0,0.4136595238095238,5791.233333333334
514,T8080,3000,M3,3038.0,0.41990833333333333,5878.716666666666
514,T8080,3000,M3,1872.5,0.4233654761904762,5927.116666666667
514,T8080,3000,M3,1334.5,0.4254654761904762,5956.516666666666
514,T8080,3000,M3,1113.5,0.42705,5978.7
514,T8080,3000,M3,1004.5,0.4282976190476191,5996.166666666667
514,T8080,3000,M3,948.5,0.42936428571428575,6011.1
514,T8080,3000,M3,975.0,0.43041666666666667,6025.833333333333
514,T8080,3000,M3,1014.0,0.43141904761904765,6039.866666666667
514,T8080,3000,M3,1139.5,0.43266190476190475,6057.266666666666
514,T8080,3000,M3,1325.0,0.43419523809523813,6078.733333333334
514,T8080,3000,M3,1782.5,0.43668690476190475,6113.616666666667
514,T8080,3000,M3,2486.0,0.4407357142857143,6170.3
514,T8080,3000,M3,3136.5,0.4461607142857143,6246.25
514,T8080,3000,M3,3366.0,0.4520892857142857,6329.25
514,T8080,3000,M3,2944.0,0.4569190476190476,6396.866666666667
514,T8080,3000,M3,1915.0,0.45926666666666666,6429.733333333334
514,T8080,3000,M3,1402.5,0.46040000000000003,6445.6
0,T8080,3000,M3,1292.0,0.46123928571428574,6457.35
0,T8080,3000,M3,2062.5,0.46389523809523814,6494.533333333334
0,T8080,3000,M3,2827.5,0.46774642857142856,6548.45
0,T8080,3000,M3,3291.5,0.472447619047619,6614.266666666666
0,T8080,3000,M3,3511.0,0.47827619047619047,6695.866666666667
0,T8080,3000,M3,3517.5,0.4737261904761905,6632.166666666667
0,T8080,3000,M3,3441.0,0.4346607142857143,6085.25
0,T8080,3000,M3,3387.0,0.37870476190476193,5301.866666666667
0,T8080,3000,M3,3338.5,0.31500595238095236,4410.083333333333
0,T8080,3000,M3,4201.0,0.25012738095238096,3501.7833333333333
0,T8080,3000,M3,5967.5,0.2052488095238095,2873.483333333333
0,T8080,3000,M3,7668.0,0.19332500000000002,2706.55
0,T8080,3000,M3,8884.0,0.20044404761904763,2806.2166666666667
0,T8080,3000,M3,9256.0,0.2152488095238095,3013.483333333333
0,T8080,3000,M3,9203.0,0.23270238095238097,3257.8333333333335
0,T8080,3000,M3,9117.5,0.25123333333333336,3517.266666666667
0,T8080,3000,M3,9112.0,0.27027738095238096,3783.883333333333
0,T8080,3000,M3,9203.5,0.28979880952380954,4057.1833333333334
0,T8080,3000,M3,9457.5,0.3100583333333333,4340.816666666667
0,T8080,3000,M3,9675.5,0.3307738095238095,4630.833333333333
0,T8080,3000,M3,9861.5,0.3518392857142857,4925.75
0,T8080,3000,M3,9967.5,0.3728583333333333,5220.016666666666
