Feed,Tcode,TcodeIdx,Mcode,Load,RollLoad,MinMaxLoad
0,T8080,3000,M8,2568.5,0.013710714285714284,0.0
0,T8080,3000,M8,17100.0,0.05416309523809524,758.2833333333333
0,T8080,3000,M8,25638.5,0.1149452380952381,1609.2333333333333
0,T8080,3000,M8,29523.5,0.18497738095238095,2589.6833333333334
0,T8080,3000,M8,31280.5,0.2591928571428571,3628.7
0,T8080,3000,M8,21372.0,0.3098166666666667,4337.433333333333
0,T8080,3000,M8,9987.0,0.33333333333333337,4666.666666666667
0,T8080,3000,M8,4781.5,0.3444559523809524,4822.383333333333
0,T8080,3000,M8,2431.5,0.3499833333333333,4899.766666666666
0,T8080,3000,M8,1341.0,0.35291428571428574,4940.8
0,T8080,3000,M8,833.0,0.3546357142857143,4964.9
0,T8080,3000,M8,612.0,0.35583095238095236,4981.633333333333
0,T8080,3000,M8,485.0,0.3567238095238095,4994.133333333333
0,T8080,3000,M8,448.0,0.3575285714285714,5005.4
0,T8080,3000,M8,420.5,0.35826785714285714,5015.75
0,T8080,3000,M8,410.5,0.3589833333333333,5025.766666666666
0,T8080,3000,M8,432.0,0.35975,5036.5
0,T8080,3000,M8,422.0,0.3604928571428571,5046.9
0,T8080,3000,M8,452.0,0.3613071428571429,5058.3
0,T8080,3000,M8,464.0,0.36215,5070.1
0,T8080,3000,M8,482.5,0.36303690476190476,5082.516666666666
0,T8080,3000,M8,536.0,0.36405119047619044,5096.716666666666
0,T8080,3000,M8,550.5,0.3651,5111.4
0,T8080,3000,M8,613.0,0.3662976190476191,5128.166666666667
0,T8080,3000,M8,654.5,0.3675940476190476,5146.316666666667
0,T8080,3000,M8,691.0,0.368977380952381,5165.683333333333
0,T8080,3000,M8,766.0,0.37053928571428574,5187.55
0,T8080,3000,M8,786.0,0.3721488095238095,5210.083333333333
0,T8080,3000,M8,848.0,0.37390595238095237,5234.683333333333
0,T8080,3000,M8,886.5,0.3757547619047619,5260.566666666667
0,T8080,3000,M8,918.5,0.3718261904761905,5205.566666666667
0,T8080,3000,M8,997.0,0.3334857142857143,4668.8
0,T8080,3000,M8,1068.5,0.2749857142857143,3849.8
0,T8080,3000,M8,1287.0,0.2077559523809524,2908.5833333333335
75,T8080,3000,M8,1565.5,0.13700595238095237,1918.0833333333333
75,T8080,3000,M8,1770.5,0.09033571428571428,1264.7
75,T8080,3000,M8,1512.5,0.07015833333333334,982.2166666666667
75,T8080,3000,M8,1097.0,0.061385714285714287,859.4
75,T8080,3000,M8,12713.5,0.08586666666666667,1202.1333333333334
75,T8080,3000,M8,23642.5,0.1389654761904762,1945.5166666666667
75,T8080,3000,M8,28615.0,0.20511309523809526,2871.5833333333335
75,T8080,3000,M8,30878.0,0.277175,3880.45
75,T8080,3000,M8,29184.0,0.3455059523809524,4837.083333333333
75,T8080,3000,M8,17195.0,0.3853797619047619,5395.316666666667
75,T8080,3000,M3,8039.5,0.4035202380952381,5649.283333333334
75,T8080,3000,M3,3872.5,0.41176309523809523,5764.683333333333
75,T8080,3000,M3,2213.0,0.4160035714285714,5824.05
75,T8080,3000,M3,1498.5,0.4185666666666667,5859.933333333333
75,T8080,3000,M3,1165.0,0.4202642857142857,5883.7
75,T8080,3000,M3,1035.5,0.421625,5902.75
75,T8080,3000,M3,943.0,0.4227214285714286,5918.1
75,T8080,3000,M3,945.5,0.4236964285714286,5931.75
75,T8080,3000,M3,979.5,0.42471785714285715,5946.05
75,T8080,3000,M3,1046.5,0.42575,5960.5
75,T8080,3000,M3,1201.5,0.42705238095238096,5978.733333333334
75,T8080,3000,M3,1353.5,0.4286297619047619,6000.816666666667
75,T8080,3000,M3,1638.5,0.43070714285714284,6029.9
75,T8080,3000,M3,2069.0,0.4337619047619048,6072.666666666667
75,T8080,3000,M3,2567.0,0.43785476190476186,6129.966666666666
75,T8080,3000,M3,2761.0,0.44231785714285715,6192.45
75,T8080,3000,M3,2204.5,0.4453797619047619,6235.316666666667
75,T8080,3000,M3,1574.0,0.4467535714285714,6254.55
75,T8080,3000,M3,1285.0,0.4472690476190476,6261.766666666666
75,T8080,3000,M3,1530.5,0.4478488095238095,6269.883333333333
75,T8080,3000,M3,2447.0,0.44994761904761904,6299.266666666666
75,T8080,3000,M3,3052.5,0.453,6342.0
75,T8080,3000,M3,3366.0,0.45741309523809526,6403.783333333334
75,T8080,3000,M3,3437.5,0.4629857142857143,6481.8
75,T8080,3000,M3,3356.0,0.4407059523809524,6169.883333333333
75,T8080,3000,M3,3285.5,0.39223690476190476,5491.316666666667
75,T8080,3000,M3,3263.0,0.331875,4646.25
75,T8080,3000,M3,3403.0,0.2664583333333333,3730.4166666666665
75,T8080,3000,M3,4589.5,0.2079,2910.6
75,T8080,3000,M3,6045.5,0.18135357142857142,2538.95
75,T8080,3000,M3,7193.5,0.1793392857142857,2510.75
75,T8080,3000,M3,7965.5,0.1890845238095238,2647.1833333333334
75,T8080,3000,M3,8209.0,0.2033607142857143,2847.05
75,T8080,3000,M3,8212.0,0.2193452380952381,3070.8333333333335
75,T8080,3000,M3,8184.0,0.23605714285714288,3304.8
75,T8080,3000,M3,8185.0,0.2530797619047619,3543.116666666667
325,T8080,3000,M3,8329.5,0.27066666666666667,3789.3333333333335
325,T8080,3000,M3,8588.0,0.2888630952380952,4044.0833333333335
325,T8080,3000,M3,8773.0,0.30741904761904765,4303.866666666667
325,T8080,3000,M3,8924.0,0.326175,4566.45
325,T8080,3000,M3,9057.0,0.3448785714285714,4828.3
325,T8080,3000,M3,9086.0,0.3632892857142857,5086.05
